epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,2636.47,0.25921,0.27681,0.46457,0.8094,0,0.99659,1,0.995,0.995,0.99659,1,0.995,0.9,0.19,0.2637,0.43134,0.69913,0,0.00021471,0.00021471,0.00021471
90,2663.89,0.24018,0.27753,0.44451,0.77868,0,0.99666,1,0.995,0.995,0.99666,1,0.995,0.9,0.19311,0.25829,0.42501,0.69917,0,0.000198206,0.000198206,0.000198206
91,2691.11,0.19307,0.28333,0.47676,0.77486,0,0.99665,1,0.995,0.995,0.99665,1,0.995,0.90658,0.18941,0.25544,0.41443,0.69903,0,0.000181703,0.000181703,0.000181703
92,2719.94,0.18701,0.2809,0.48544,0.77083,0,0.99663,1,0.995,0.985,0.99663,1,0.995,0.90658,0.18243,0.25711,0.40974,0.69934,0,0.0001652,0.0001652,0.0001652
93,2755.43,0.17791,0.29288,0.47621,0.7732,0,0.99667,1,0.995,0.985,0.99667,1,0.995,0.90913,0.17717,0.25972,0.40686,0.70041,0,0.000148696,0.000148696,0.000148696
94,2782.71,0.19091,0.71523,0.46716,0.77357,0,0.99667,1,0.995,0.985,0.99667,1,0.995,0.90913,0.17717,0.25972,0.40686,0.70041,0,0.000132193,0.000132193,0.000132193
95,2810.26,0.20244,0.39901,0.47267,0.7738,0,0.99669,1,0.995,0.985,0.99669,1,0.995,0.90953,0.17989,0.26101,0.41034,0.70105,0,0.00011569,0.00011569,0.00011569
96,2839.71,0.21093,0.83811,0.48733,0.77196,0,0.99672,1,0.995,0.985,0.99672,1,0.995,0.90953,0.18278,0.26177,0.41282,0.70148,0,9.91865e-05,9.91865e-05,9.91865e-05
97,2876.46,0.19617,0.28743,0.48821,0.78564,0,0.99673,1,0.995,0.985,0.99673,1,0.995,0.9096,0.18454,0.26117,0.41461,0.70156,0,8.26832e-05,8.26832e-05,8.26832e-05
98,2907.61,0.19577,0.38646,0.48408,0.80351,0,0.99669,1,0.995,0.98587,0.99669,1,0.995,0.91105,0.18575,0.26064,0.41526,0.70169,0,6.61799e-05,6.61799e-05,6.61799e-05
99,2948.93,0.1922,0.32681,0.48042,0.76487,0,0.99669,1,0.995,0.98587,0.99669,1,0.995,0.91105,0.1889,0.26011,0.41329,0.70191,0,4.96766e-05,4.96766e-05,4.96766e-05
100,2976.16,0.19674,0.57753,0.47397,0.76944,0,0.99675,1,0.995,0.98587,0.99675,1,0.995,0.91105,0.18855,0.25944,0.41253,0.70167,0,3.31733e-05,3.31733e-05,3.31733e-05
