cycle,time,ok,aligned,reason,center_x,center_y,target_x,target_y,dx,dy,tolerance_px,color_area_px,a_mask_area_px,b_mask_area_px,step9_c_source,step9_c_area_px,step9_c_center_x,step9_c_center_y,step9_c_dirty_before_update,step9_c_update_ok,step9_c_update_reason,action_code,action_name,moved,dry_run,ch1_distance,ch2_distance,overlay_path,frame_path,b_mask_path,color_mask_path,a_mask_path,b_mask_path,c_mask_path,c_raw_mask_path
11,2026-06-27 21:25:40,True,False,moving,522.751211631664,357.5928917609047,494.118,403.529,-28.633211631663983,45.93610823909529,10.0,619,5942,18909,dynamic_sam2,12103,538.1049326613237,344.6274477402297,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0011_20260627_212538_319_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0011_20260627_212538_319_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0011_20260627_212538_319_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0011_20260627_212538_319_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0011_20260627_212538_319_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0011_20260627_212538_319_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0011_20260627_212538_319_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0011_20260627_212538_319_action_-1_current_c_raw_mask.png
12,2026-06-27 21:25:44,True,False,moving,524.5752066115703,355.8380165289256,494.118,403.529,-30.457206611570257,47.69098347107439,10.0,605,6011,18919,dynamic_sam2,15456,534.8990683229814,323.7095626293996,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0012_20260627_212541_927_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0012_20260627_212541_927_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0012_20260627_212541_927_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0012_20260627_212541_927_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0012_20260627_212541_927_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0012_20260627_212541_927_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0012_20260627_212541_927_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0012_20260627_212541_927_action_-1_current_c_raw_mask.png
13,2026-06-27 21:25:48,True,False,moving,526.437802907916,355.39095315024235,494.118,403.529,-32.31980290791597,48.13804684975764,10.0,619,6029,18834,dynamic_sam2,16561,536.0683533603043,315.3729847231447,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0013_20260627_212545_707_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0013_20260627_212545_707_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0013_20260627_212545_707_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0013_20260627_212545_707_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0013_20260627_212545_707_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0013_20260627_212545_707_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0013_20260627_212545_707_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0013_20260627_212545_707_action_-1_current_c_raw_mask.png
14,2026-06-27 21:25:51,True,False,moving,528.1285008237232,353.74135090609553,494.118,403.529,-34.01050082372325,49.78764909390446,10.0,607,6131,18861,dynamic_sam2,16657,538.3980908927177,313.78519541333975,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0014_20260627_212549_346_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0014_20260627_212549_346_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0014_20260627_212549_346_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0014_20260627_212549_346_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0014_20260627_212549_346_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0014_20260627_212549_346_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0014_20260627_212549_346_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0014_20260627_212549_346_action_-1_current_c_raw_mask.png
15,2026-06-27 21:25:55,True,False,moving,530.1980830670926,353.14696485623006,494.118,403.529,-36.08008306709263,50.38203514376994,10.0,626,6085,18922,dynamic_sam2,16626,539.5694695055937,313.367316251654,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0015_20260627_212553_109_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0015_20260627_212553_109_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0015_20260627_212553_109_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0015_20260627_212553_109_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0015_20260627_212553_109_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0015_20260627_212553_109_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0015_20260627_212553_109_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0015_20260627_212553_109_action_-1_current_c_raw_mask.png
16,2026-06-27 21:25:59,True,False,moving,531.8361486486486,350.5777027027027,494.118,403.529,-37.71814864864865,52.95129729729729,10.0,592,6079,18932,dynamic_sam2,16742,542.2095329112412,311.4032373671007,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0016_20260627_212556_843_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0016_20260627_212556_843_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0016_20260627_212556_843_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0016_20260627_212556_843_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0016_20260627_212556_843_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0016_20260627_212556_843_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0016_20260627_212556_843_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0016_20260627_212556_843_action_-1_current_c_raw_mask.png
17,2026-06-27 21:26:03,True,False,moving,533.9076682316119,350.5195618153365,494.118,403.529,-39.78966823161187,53.00943818466351,10.0,639,6048,18906,dynamic_sam2,16610,543.4921733895244,311.29849488260083,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0017_20260627_212600_516_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0017_20260627_212600_516_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0017_20260627_212600_516_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0017_20260627_212600_516_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0017_20260627_212600_516_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0017_20260627_212600_516_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0017_20260627_212600_516_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0017_20260627_212600_516_action_-1_current_c_raw_mask.png
18,2026-06-27 21:26:06,True,False,moving,535.5709624796085,349.46329526916804,494.118,403.529,-41.452962479608516,54.06570473083195,10.0,613,6123,18912,dynamic_sam2,16628,545.1223237911955,309.6602116911234,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0018_20260627_212604_306_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0018_20260627_212604_306_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0018_20260627_212604_306_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0018_20260627_212604_306_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0018_20260627_212604_306_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0018_20260627_212604_306_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0018_20260627_212604_306_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0018_20260627_212604_306_action_-1_current_c_raw_mask.png
19,2026-06-27 21:26:10,True,False,moving,537.4614147909967,347.9533762057878,494.118,403.529,-43.343414790996746,55.57562379421222,10.0,622,6092,19011,dynamic_sam2,16416,547.5611598440546,307.8801169590643,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0019_20260627_212607_932_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0019_20260627_212607_932_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0019_20260627_212607_932_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0019_20260627_212607_932_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0019_20260627_212607_932_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0019_20260627_212607_932_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0019_20260627_212607_932_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0019_20260627_212607_932_action_-1_current_c_raw_mask.png
20,2026-06-27 21:26:14,True,False,moving,539.5359019264448,347.8861646234676,494.118,403.529,-45.41790192644481,55.64283537653239,10.0,571,6110,18963,dynamic_sam2,16352,549.2541585127202,307.3162304305284,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0020_20260627_212611_707_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0020_20260627_212611_707_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0020_20260627_212611_707_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0020_20260627_212611_707_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0020_20260627_212611_707_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0020_20260627_212611_707_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0020_20260627_212611_707_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0020_20260627_212611_707_action_-1_current_c_raw_mask.png
21,2026-06-27 21:26:17,True,False,moving,540.9813374805599,346.2177293934681,494.118,403.529,-46.86333748055989,57.31127060653188,10.0,643,6078,19034,dynamic_sam2,16509,551.348355442486,304.7846629111394,True,True,ok,-1,右上,True,False,-20.0,0.0,measurement_output\step9_color_center_align\run_20260627_212017_558\overlays\step9_cycle_0021_20260627_212615_401_action_-1_overlay.png,measurement_output\step9_color_center_align\run_20260627_212017_558\frames\step9_cycle_0021_20260627_212615_401_action_-1_frame.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0021_20260627_212615_401_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\masks\step9_cycle_0021_20260627_212615_401_action_-1_color_region_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0021_20260627_212615_401_action_-1_a_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\ab_masks\step9_cycle_0021_20260627_212615_401_action_-1_b_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0021_20260627_212615_401_action_-1_current_c_mask.png,measurement_output\step9_color_center_align\run_20260627_212017_558\c_masks\step9_cycle_0021_20260627_212615_401_action_-1_current_c_raw_mask.png
