cycle_index,time,focus_score_ratio,full_tenengrad,full_laplacian_var,full_brenner,full_highfreq_ratio,full_local_contrast,full_edge_width,full_halo_width,full_brightness_mean,full_brightness_std,full_red_blue_ratio,full_modified_laplacian,full_dct_energy,full_smd,full_entropy,roi_tenengrad,roi_laplacian_var,roi_brenner,roi_highfreq_ratio,roi_local_contrast,roi_edge_width,roi_halo_width,roi_brightness_mean,roi_brightness_std,roi_red_blue_ratio,roi_modified_laplacian,roi_dct_energy,roi_smd,roi_entropy
143,2026-07-04 22:17:34,1.698464513539672,23954.36786462478,42098.604246677656,1040.6077904501753,0.24017699684534302,0.3318489925472902,51.0,2.0,57.215362473001285,49.56851927039816,1.997740990951846,67.16455007551521,0.13957398442328192,6.344126389729183,6.9936348572906075,38010.4188,86110.43560011654,1752.1000782997762,0.40079270494553115,0.32291891799601374,74.0,1.0,82.53895555555556,49.63510982066158,1.6779128645385182,117.40866666666666,0.12942111042016038,10.4417502787068,6.631205512228669
144,2026-07-04 22:17:40,1.7102130806575182,24257.188893580395,42265.53058338092,1050.1780969772199,0.22594703965000137,0.33088464942331836,51.0,2.0,58.40340346233172,51.282920354750864,1.9243777228309988,67.33305860954577,0.13512299411830844,6.350627470132158,7.104948019601509,37583.392377777775,85792.09165717284,1736.608322147651,0.41654733637363944,0.30915163248589334,35.0,1.0,85.59214444444444,48.519402058022365,1.7519450412475577,117.37673333333333,0.12245949647773899,10.44284280936455,6.758641444220602
145,2026-07-04 22:17:46,1.721566003650005,23426.881841028306,41571.20467154283,1018.592977374879,0.21100130935366523,0.31598451796909216,51.0,2.0,59.59671224645566,52.36457253215709,2.0009033383608155,66.60021598973643,0.12471948184594756,6.290355992032488,7.023396582552818,36550.48933333333,84729.20834716248,1699.1345805369128,0.4334544333573462,0.28866276770470234,35.0,1.0,89.22113333333333,47.01928552370824,1.9066479236205265,115.90724444444444,0.11329081183918985,10.323545150501673,6.355137591100914
146,2026-07-04 22:17:51,1.729410998625897,24341.52254697371,42443.21971782915,1054.683479871048,0.23429615998400685,0.34323663137643656,51.0,2.0,55.95274311025221,50.53195635359969,1.9265845337484842,67.62517660814915,0.1433946216543047,6.377906981198686,7.029165165508881,40532.401155555555,88639.10685387655,1844.3528355704698,0.37700558077819624,0.37907196357614226,120.0,2.0,73.22485555555555,52.37725997225664,1.5551939818249734,119.44742222222222,0.15875207810343786,10.55577480490524,6.368883117134171
147,2026-07-04 22:17:57,1.7273482849910708,24058.589668220277,42196.29982343854,1043.5715632941042,0.24303218662849113,0.33472368915293355,51.0,2.0,56.54699603748153,49.37620791753327,2.000008020301849,66.97690290205759,0.14264979145509485,6.3112392728815525,6.980876075841117,37799.28215555556,86060.84529569134,1744.320715883669,0.4174663648402629,0.31263458519253534,31.0,1.0,84.38082222222222,48.54181492957679,1.8093100099958883,116.89586666666666,0.12610366947824017,10.371454849498328,6.536129249727669
148,2026-07-04 22:18:02,1.726946547265225,23808.276824138884,41923.22784786128,1035.2911192470594,0.23659040807403878,0.3281971855542647,51.0,2.0,57.31218636828686,49.8628628190635,2.0374068277309854,66.68268387547299,0.13794156095534205,6.2982799710080695,6.953468636938731,37441.03402222222,85683.7781299906,1732.246370246085,0.4288964213261171,0.3085423840783609,120.0,2.0,85.18944444444445,47.73056113600619,1.8210159375611992,117.1155111111111,0.12384035006065604,10.409409141583055,6.438391820928224
149,2026-07-04 22:18:08,1.7333310404377316,24212.988364161945,42394.02044694356,1050.082227307923,0.24342026899138264,0.3467443095626277,51.0,2.0,54.94942612501421,49.471781353115134,1.9474658014919397,67.38079761924095,0.14806016097960406,6.348195270984733,6.986989420353378,40980.329755555555,89136.8248728489,1860.9643680089484,0.37592330046515143,0.3921001745369861,121.0,3.0,71.68845555555555,52.70135773133176,1.5148586113370621,119.7962,0.16420723901887457,10.58443143812709,6.268144029603207
150,2026-07-04 22:18:14,1.724569643600621,24019.43105177258,42094.95548886586,1042.4346348370639,0.23488387529496516,0.3330095602605888,51.0,2.0,56.938243987203016,50.213579926301726,2.0079815796033853,67.08334483654612,0.13928970810819,6.332406867978713,6.977872502329102,37366.4204,85541.78170424693,1728.8467561521252,0.41559243876761776,0.30816005078460595,35.0,1.0,85.4854,48.45206437702686,1.8617171105054695,117.00308888888888,0.12192637944815814,10.397207357859532,6.502981490041703
151,2026-07-04 22:18:20,1.7183566085857707,24129.056770385047,42015.8803443051,1044.4455237487512,0.21299986462917384,0.32270917706785024,51.0,2.0,59.62674476671484,52.6547965005712,1.9387661287252642,66.98945426051935,0.12896172489401606,6.322323999820227,7.12493814515008,38022.863333333335,86024.64091279803,1752.0942393736018,0.4088197010911519,0.3193936938504075,38.0,1.0,82.9649111111111,49.14067235886163,1.7573313030995772,117.4747111111111,0.12940853881588302,10.432307692307692,6.526004165531617
152,2026-07-04 22:18:25,1.7333174636777435,24229.31406409861,42351.506334065605,1048.3692184049632,0.22536966126430097,0.33786380085270207,51.0,2.0,56.84011583058609,51.34909753355927,1.8855939580393837,67.43619573866866,0.1387461875959633,6.3464294590257015,7.032018632141112,39785.6192,88097.8725092958,1817.0498266219238,0.396750960945533,0.3586136593945381,121.0,3.0,76.63063333333334,50.76085917142372,1.6211886595865874,119.30022222222222,0.14896144887658644,10.548935340022297,6.614012944303992
