index,wavelength,median_filtered_y,lorentz_fit_y,residual
160,503.806000,1179.000000,1203.478477,-24.478477
161,503.841000,1178.000000,1203.479927,-25.479927
162,503.876000,1179.000000,1203.481390,-24.481390
163,503.911000,1193.000000,1203.482864,-10.482864
164,503.946000,1194.000000,1203.484351,-9.484351
165,503.981000,1194.000000,1203.485850,-9.485850
166,504.015000,1194.000000,1203.487361,-9.487361
167,504.050000,1194.000000,1203.488885,-9.488885
168,504.085000,1185.000000,1203.490422,-18.490422
169,504.120000,1183.000000,1203.491972,-20.491972
170,504.155000,1183.000000,1203.493535,-20.493535
171,504.190000,1189.000000,1203.495112,-14.495112
172,504.225000,1189.000000,1203.496701,-14.496701
173,504.260000,1190.000000,1203.498305,-13.498305
174,504.294000,1192.000000,1203.499922,-11.499922
175,504.329000,1192.000000,1203.501553,-11.501553
176,504.364000,1190.000000,1203.503197,-13.503197
177,504.399000,1190.000000,1203.504857,-13.504857
178,504.434000,1190.000000,1203.506530,-13.506530
179,504.469000,1185.000000,1203.508218,-18.508218
180,504.504000,1185.000000,1203.509920,-18.509920
181,504.539000,1185.000000,1203.511638,-18.511638
182,504.573000,1184.000000,1203.513370,-19.513370
183,504.608000,1184.000000,1203.515118,-19.515118
184,504.643000,1182.000000,1203.516881,-21.516881
185,504.678000,1182.000000,1203.518660,-21.518660
186,504.713000,1194.000000,1203.520454,-9.520454
187,504.748000,1202.000000,1203.522264,-1.522264
188,504.783000,1197.000000,1203.524091,-6.524091
189,504.817000,1197.000000,1203.525933,-6.525933
190,504.852000,1194.000000,1203.527793,-9.527793
191,504.887000,1189.000000,1203.529668,-14.529668
192,504.922000,1189.000000,1203.531561,-14.531561
193,504.957000,1189.000000,1203.533471,-14.533471
194,504.992000,1195.000000,1203.535398,-8.535398
195,505.027000,1195.000000,1203.537343,-8.537343
196,505.061000,1208.000000,1203.539305,4.460695
197,505.096000,1209.000000,1203.541286,5.458714
198,505.131000,1208.000000,1203.543284,4.456716
199,505.166000,1199.000000,1203.545301,-4.545301
200,505.201000,1199.000000,1203.547337,-4.547337
201,505.236000,1187.000000,1203.549391,-16.549391
202,505.271000,1187.000000,1203.551465,-16.551465
203,505.305000,1192.000000,1203.553558,-11.553558
204,505.340000,1187.000000,1203.555670,-16.555670
205,505.375000,1192.000000,1203.557802,-11.557802
206,505.410000,1192.000000,1203.559955,-11.559955
207,505.445000,1187.000000,1203.562127,-16.562127
208,505.480000,1187.000000,1203.564320,-16.564320
209,505.514000,1190.000000,1203.566534,-13.566534
210,505.549000,1190.000000,1203.568769,-13.568769
211,505.584000,1197.000000,1203.571025,-6.571025
212,505.619000,1197.000000,1203.573303,-6.573303
213,505.654000,1193.000000,1203.575603,-10.575603
214,505.689000,1206.000000,1203.577925,2.422075
215,505.724000,1199.000000,1203.580270,-4.580270
216,505.758000,1195.000000,1203.582637,-8.582637
217,505.793000,1198.000000,1203.585027,-5.585027
218,505.828000,1199.000000,1203.587441,-4.587441
219,505.863000,1198.000000,1203.589878,-5.589878
220,505.898000,1196.000000,1203.592339,-7.592339
221,505.933000,1196.000000,1203.594825,-7.594825
