epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,890.311,0.36454,0.71398,1.12347,0.73722,0,0.98949,0.84615,0.94763,0.92645,0.98949,0.84615,0.94763,0.87337,0.0887,0.16507,1.87107,0.28028,0,0.000841835,0.000841835,0.000841835
52,907.747,0.32342,0.84416,0.98047,0.74565,0,0.99384,0.84615,0.89522,0.88154,0.99384,0.84615,0.89522,0.82305,0.0748,0.16044,1.96237,0.27262,0,0.000825332,0.000825332,0.000825332
53,925.225,0.30996,0.77313,0.8609,0.69707,0,1,0.8439,0.91344,0.91344,1,0.8439,0.91344,0.84404,0.08885,0.14409,0.5204,0.2781,0,0.000808828,0.000808828,0.000808828
54,942.709,0.37147,0.88258,1.08283,0.719,0,0.98851,0.84615,0.92,0.89619,0.98851,0.84615,0.92,0.84311,0.07969,0.14899,0.79324,0.27453,0,0.000792325,0.000792325,0.000792325
55,960.193,0.34269,0.36879,1.10068,0.77792,0,0.98685,0.84615,0.9294,0.89,0.98685,0.84615,0.9294,0.86277,0.08929,0.16512,2.57535,0.2734,0,0.000775822,0.000775822,0.000775822
56,977.811,0.48283,0.51791,1.287,0.80182,0,0.99392,0.84615,0.93257,0.93257,0.99392,0.84615,0.93257,0.84692,0.08802,0.16346,1.45588,0.27474,0,0.000759318,0.000759318,0.000759318
57,995.248,0.3646,1.10558,1.05292,0.7563,0,0.99262,0.84615,0.93939,0.93939,0.99262,0.84615,0.93939,0.84914,0.09864,0.15359,2.15249,0.27825,0,0.000742815,0.000742815,0.000742815
58,1012.72,0.4046,0.3619,0.99569,0.78324,0,0.9942,0.84615,0.93625,0.93625,0.9942,0.84615,0.93625,0.85552,0.08499,0.15592,0.60966,0.27458,0,0.000726312,0.000726312,0.000726312
59,1030.25,0.3841,0.84624,0.88903,0.816,0,0.99376,0.84615,0.93625,0.90738,0.99376,0.84615,0.93625,0.83272,0.09872,0.15297,1.49563,0.27794,0,0.000709809,0.000709809,0.000709809
60,1047.69,0.34876,1.00381,1.00428,0.72112,0,0.99404,0.84615,0.9379,0.9379,0.99404,0.84615,0.9379,0.85749,0.06958,0.16638,1.03471,0.26925,0,0.000693305,0.000693305,0.000693305
61,1065.18,0.29792,1.137,0.73781,0.69644,0,0.99088,0.84615,0.92711,0.92711,0.99088,0.84615,0.92711,0.84727,0.08293,0.18317,2.31334,0.27196,0,0.000676802,0.000676802,0.000676802
62,1082.64,0.34447,0.87787,1.1074,0.7551,0,0.99283,0.84615,0.92314,0.92314,0.99283,0.84615,0.92314,0.84486,0.06508,0.22112,1.15767,0.26856,0,0.000660299,0.000660299,0.000660299
63,1100.12,0.3634,0.6405,0.94153,0.74346,0,0.99308,0.84615,0.93939,0.91407,0.99308,0.84615,0.93939,0.86835,0.08846,0.16671,1.17081,0.27546,0,0.000643795,0.000643795,0.000643795
64,1117.54,0.37536,0.79484,0.99156,0.74145,0,0.98966,0.84615,0.95036,0.93651,0.98966,0.84615,0.95036,0.84916,0.08946,0.1522,1.42535,0.27841,0,0.000627292,0.000627292,0.000627292
65,1135.1,0.36943,0.50828,0.97354,0.77529,0,0.99062,0.84615,0.93473,0.88315,0.99062,0.84615,0.93473,0.84016,0.10048,0.15523,1.61535,0.282,0,0.000610789,0.000610789,0.000610789
66,1152.48,0.34577,0.77863,0.88802,0.70976,0,0.98208,0.84615,0.9414,0.88727,0.98208,0.84615,0.9414,0.86255,0.11486,0.13846,0.432,0.28903,0,0.000594286,0.000594286,0.000594286
67,1169.93,0.28273,0.46454,0.82996,0.71635,0,0.9922,0.84615,0.95289,0.92745,0.9922,0.84615,0.95289,0.85629,0.07618,0.1443,0.85298,0.27571,0,0.000577782,0.000577782,0.000577782
68,1187.45,0.2851,0.44152,0.90129,0.7792,0,0.99038,0.84615,0.95556,0.9301,0.99038,0.84615,0.95556,0.86567,0.06858,0.14319,1.45862,0.27002,0,0.000561279,0.000561279,0.000561279
69,1204.87,0.29394,0.57678,0.76551,0.69144,0,0.99257,0.84615,0.95689,0.95689,0.99257,0.84615,0.95689,0.87866,0.08786,0.13711,0.7886,0.27558,0,0.000544776,0.000544776,0.000544776
70,1222.53,0.29692,0.43059,0.77117,0.77971,0,0.98915,0.84615,0.94692,0.94692,0.98915,0.84615,0.94692,0.86299,0.0785,0.13114,1.48407,0.27331,0,0.000528272,0.000528272,0.000528272
71,1239.95,0.32609,0.54179,0.79496,0.7292,0,0.98345,0.84615,0.93473,0.92585,0.98345,0.84615,0.93473,0.85395,0.0775,0.13808,3.03399,0.27367,0,0.000511769,0.000511769,0.000511769
72,1257.45,0.28027,0.93894,0.80738,0.72572,0,0.9884,0.84615,0.92314,0.91437,0.9884,0.84615,0.92314,0.84149,0.07027,0.13891,1.73806,0.2705,0,0.000495266,0.000495266,0.000495266
73,1274.94,0.34736,0.82573,0.95205,0.73537,0,0.98489,0.84615,0.93092,0.90754,0.98489,0.84615,0.93092,0.85117,0.07129,0.14943,2.30628,0.2697,0,0.000478762,0.000478762,0.000478762
74,1292.33,0.27427,0.68658,0.85852,0.72317,0,0.99236,0.84615,0.93886,0.93886,0.99236,0.84615,0.93886,0.8586,0.06607,0.14829,0.69701,0.26895,0,0.000462259,0.000462259,0.000462259
75,1309.73,0.25181,0.46516,0.83135,0.67018,0,0.9935,0.84615,0.9448,0.92193,0.9935,0.84615,0.9448,0.85735,0.06607,0.15374,0.60605,0.27099,0,0.000445756,0.000445756,0.000445756
76,1327.01,0.22862,0.36205,0.73178,0.61569,0,0.99243,0.84615,0.95556,0.95556,0.99243,0.84615,0.95556,0.86742,0.06523,0.1634,0.6394,0.26907,0,0.000429253,0.000429253,0.000429253
77,1344.44,0.28845,0.64863,0.70353,0.74075,0,0.98129,0.84615,0.96253,0.93942,0.98129,0.84615,0.96253,0.87719,0.06313,0.15658,1.39126,0.26934,0,0.000412749,0.000412749,0.000412749
78,1361.78,0.27593,0.56695,0.67065,0.69537,0,0.9908,0.84615,0.96688,0.9446,0.9908,0.84615,0.96688,0.89377,0.07598,0.16077,0.36074,0.27173,0,0.000396246,0.000396246,0.000396246
79,1379.42,0.26049,0.73498,0.72001,0.75037,0,0.9904,0.84615,0.96688,0.96688,0.9904,0.84615,0.96688,0.86932,0.06271,0.1475,0.47127,0.26851,0,0.000379743,0.000379743,0.000379743
80,1396.94,0.25016,0.70633,0.59462,0.74418,0,0.98933,0.84615,0.95289,0.95289,0.98933,0.84615,0.95289,0.87143,0.06541,0.14239,1.03994,0.26832,0,0.000363239,0.000363239,0.000363239
81,1414.38,0.25388,0.75372,0.65719,0.7285,0,0.98983,0.84615,0.94937,0.94052,0.98983,0.84615,0.94937,0.86828,0.06937,0.14025,0.9183,0.27029,0,0.000346736,0.000346736,0.000346736
82,1431.97,0.2652,0.84793,0.56081,0.83732,0,0.98891,0.84615,0.94937,0.92522,0.98891,0.84615,0.94937,0.85745,0.07247,0.14128,1.07856,0.27057,0,0.000330233,0.000330233,0.000330233
83,1449.48,0.26014,0.96071,1.30172,0.70206,0,0.99035,0.84615,0.95289,0.94466,0.99035,0.84615,0.95289,0.86487,0.06607,0.14457,0.93352,0.26949,0,0.000313729,0.000313729,0.000313729
84,1466.96,0.19954,0.27011,0.78016,0.59853,0,0.99317,0.84615,0.94937,0.94116,0.99317,0.84615,0.94937,0.87043,0.06102,0.14637,0.49692,0.26955,0,0.000297226,0.000297226,0.000297226
85,1484.45,0.25459,0.4038,0.79988,0.70499,0,0.9926,0.84615,0.94937,0.94937,0.9926,0.84615,0.94937,0.87043,0.05952,0.14208,0.31076,0.26881,0,0.000280723,0.000280723,0.000280723
86,1501.84,0.27149,0.39627,0.79235,0.72102,0,0.99261,0.84615,0.94833,0.94833,0.99261,0.84615,0.94833,0.8692,0.06117,0.13254,0.66859,0.26734,0,0.00026422,0.00026422,0.00026422
87,1519.14,0.17897,0.53966,0.81733,0.58036,0,0.99108,0.84615,0.94833,0.94007,0.99108,0.84615,0.94833,0.8605,0.07224,0.13945,1.07312,0.26957,0,0.000247716,0.000247716,0.000247716
88,1536.55,0.30011,0.22896,0.78542,0.68115,0,0.99277,0.84615,0.94833,0.92537,0.99277,0.84615,0.94833,0.8605,0.06552,0.12799,0.56724,0.27105,0,0.000231213,0.000231213,0.000231213
89,1553.89,0.22384,0.40372,0.69362,0.63985,0,0.9945,0.84615,0.95289,0.95289,0.9945,0.84615,0.95289,0.87357,0.06142,0.12803,0.31835,0.26878,0,0.00021471,0.00021471,0.00021471
90,1571.36,0.17677,0.43685,0.58465,0.61123,0,0.99345,0.84615,0.9545,0.94558,0.99345,0.84615,0.9545,0.87484,0.05871,0.13548,0.49104,0.26604,0,0.000198206,0.000198206,0.000198206
