x,y,lorentz_fit_y,residual
508.056,1203,1203.803855,-0.8038553694
508.091,1203,1203.808788,-0.8087876207
508.126,1206,1203.813782,2.186218295
508.16,1209,1203.818693,5.181306707
508.195,1211,1203.823812,7.176187668
508.23,1211,1203.828996,7.171003653
508.265,1211,1203.834246,7.16575356
508.299,1211,1203.839411,7.160589129
508.334,1210,1203.844795,6.155205449
508.369,1210,1203.850248,6.149752275
508.404,1211,1203.855772,7.144228409
508.439,1212,1203.861367,8.138632627
508.473,1211,1203.866873,7.133126674
508.508,1211,1203.872615,7.127385422
508.543,1205,1203.878432,1.121568455
508.578,1200,1203.884326,-3.884325562
508.612,1200,1203.890126,-3.89012625
508.647,1205,1203.896176,1.103823812
508.682,1205,1203.902307,1.097692682
508.717,1205,1203.908521,1.091478905
508.752,1205,1203.914819,1.085180991
508.786,1198,1203.921019,-5.921018991
508.821,1198,1203.927487,-5.927487266
508.856,1198,1203.934044,-5.934044303
508.891,1202,1203.940692,-1.940691731
508.925,1202,1203.947237,-1.947237364
508.96,1214,1203.954068,10.0459321
508.995,1214,1203.960994,10.03900611
509.03,1202,1203.968017,-1.968017117
509.064,1218,1203.974935,14.02506549
509.099,1218,1203.982155,14.01784519
509.134,1199,1203.989478,-4.989477893
509.169,1194,1203.996906,-9.996905709
509.203,1199,1204.004223,-5.004223491
509.238,1199,1204.011864,-5.011863697
509.273,1199,1204.019615,-5.019614729
509.308,1201,1204.027479,-3.027478736
509.342,1201,1204.035228,-3.035228323
509.377,1198,1204.043322,-6.043321547
509.412,1195,1204.051534,-9.051534444
509.447,1193,1204.059869,-11.05986938
509.481,1189,1204.068085,-15.06808533
509.516,1193,1204.076668,-11.076668
509.551,1193,1204.08538,-11.08538009
509.586,1193,1204.094224,-11.09422421
509.62,1193,1204.102945,-11.10294459
509.655,1199,1204.112057,-5.112056869
509.69,1199,1204.121309,-5.12130932
509.725,1214,1204.130705,9.869295179
509.759,1199,1204.139972,-5.139971658
509.794,1199,1204.149658,-5.149657899
509.829,1199,1204.159496,-5.159496196
509.864,1212,1204.16949,7.83051026
509.898,1193,1204.17935,-11.17934952
509.933,1198,1204.189659,-6.189658787
509.968,1212,1204.200133,7.799866712
510.003,1216,1204.210777,11.78922344
510.037,1216,1204.221281,11.77871922
510.072,1216,1204.232268,11.7677325
510.107,1216,1204.243434,11.75656593
510.142,1215,1204.254784,10.74521556
510.176,1212,1204.26599,7.734009679
510.211,1212,1204.277715,7.722285047
510.246,1203,1204.289636,-1.289635713
