wavelength,median_filtered_y,lorentz_fit_y,residual
515.066000,1220.000000,1222.143887,-2.143887
515.101000,1219.000000,1222.705820,-3.705820
515.135000,1220.000000,1223.288442,-3.288442
515.170000,1220.000000,1223.929317,-3.929317
515.204000,1218.000000,1224.595315,-6.595315
515.239000,1222.000000,1225.329616,-3.329616
515.274000,1230.000000,1226.117827,3.882173
515.308000,1230.000000,1226.939886,3.060114
515.343000,1218.000000,1227.849554,-9.849554
515.377000,1223.000000,1228.800597,-5.800597
515.412000,1223.000000,1229.855559,-6.855559
515.447000,1223.000000,1230.994970,-7.994970
515.481000,1226.000000,1232.190512,-6.190512
515.516000,1226.000000,1233.521392,-7.521392
515.550000,1226.000000,1234.920953,-8.920953
515.585000,1226.000000,1236.482230,-10.482230
515.620000,1227.000000,1238.177676,-11.177676
515.654000,1222.000000,1239.965503,-17.965503
515.689000,1229.000000,1241.964587,-12.964587
515.724000,1230.000000,1244.139501,-14.139501
515.758000,1232.000000,1246.435626,-14.435626
515.793000,1234.000000,1249.003980,-15.003980
515.827000,1248.000000,1251.713250,-3.713250
515.862000,1252.000000,1254.738349,-2.738349
515.897000,1252.000000,1258.017334,-6.017334
515.931000,1251.000000,1261.456846,-10.456846
515.966000,1265.000000,1265.266213,-0.266213
516.000000,1265.000000,1269.228116,-4.228116
516.035000,1285.000000,1273.566535,11.433465
516.069000,1290.000000,1278.012492,11.987508
516.104000,1291.000000,1282.788950,8.211050
516.139000,1308.000000,1287.707808,20.292192
516.173000,1310.000000,1292.541260,17.458740
516.208000,1308.000000,1297.463263,10.536737
516.242000,1314.000000,1302.060880,11.939120
516.277000,1314.000000,1306.444858,7.555142
516.312000,1314.000000,1310.298015,3.701985
516.346000,1312.000000,1313.361995,-1.361995
516.381000,1312.000000,1315.656869,-3.656869
516.415000,1306.000000,1316.930140,-10.930140
516.450000,1305.000000,1317.180967,-12.180967
516.485000,1305.000000,1316.341984,-11.341984
516.519000,1306.000000,1314.530718,-8.530718
516.554000,1308.000000,1311.745804,-3.745804
516.588000,1308.000000,1308.287898,-0.287898
516.623000,1308.000000,1304.124603,3.875397
516.657000,1305.000000,1299.664077,5.335923
516.692000,1301.000000,1294.811758,6.188242
516.727000,1300.000000,1289.845234,10.154766
516.761000,1288.000000,1285.030437,2.969563
516.796000,1280.000000,1280.179737,-0.179737
516.830000,1275.000000,1275.637732,-0.637732
516.865000,1259.000000,1271.184918,-12.184918
516.899000,1258.000000,1267.103788,-9.103788
516.934000,1255.000000,1263.168863,-8.168863
516.969000,1255.000000,1259.507656,-4.507656
517.003000,1245.000000,1256.209001,-11.209001
517.038000,1242.000000,1253.069194,-11.069194
517.072000,1241.000000,1250.255079,-9.255079
517.107000,1242.000000,1247.586102,-5.586102
517.141000,1245.000000,1245.199466,-0.199466
517.176000,1243.000000,1242.938716,0.061284
517.211000,1251.000000,1240.860954,10.139046
517.245000,1251.000000,1239.003173,11.996827
517.280000,1246.000000,1237.241938,8.758062
517.314000,1243.000000,1235.665206,7.334794
517.349000,1238.000000,1234.168054,3.831946
517.383000,1238.000000,1232.825279,5.174721
517.418000,1246.000000,1231.547684,14.452316
517.453000,1247.000000,1230.366857,16.633143
517.487000,1247.000000,1229.304230,17.695770
517.522000,1250.000000,1228.289651,21.710349
517.556000,1250.000000,1227.374436,22.625564
517.591000,1228.000000,1226.498482,1.501518
517.625000,1228.000000,1225.706388,2.293612
517.660000,1227.000000,1224.946431,2.053569
517.694000,1227.000000,1224.257569,2.742431
517.729000,1229.000000,1223.595076,5.404924
517.764000,1229.000000,1222.976028,6.023972
517.798000,1229.000000,1222.412912,6.587088
517.833000,1229.000000,1221.869476,7.130524
517.867000,1233.000000,1221.374037,11.625963
517.902000,1233.000000,1220.894866,12.105134
517.936000,1234.000000,1220.457081,13.542919
517.971000,1234.000000,1220.032786,13.967214
518.005000,1235.000000,1219.644346,15.355654
518.040000,1234.000000,1219.267126,14.732874
518.074000,1222.000000,1218.921112,3.078888
518.109000,1221.000000,1218.584455,2.415545
518.144000,1222.000000,1218.266230,3.733770
518.178000,1221.000000,1217.973528,3.026472
518.213000,1221.000000,1217.687979,3.312021
518.247000,1221.000000,1217.424884,3.575116
518.282000,1216.000000,1217.167792,-1.167792
518.316000,1216.000000,1216.930532,-0.930532
518.351000,1218.000000,1216.698321,1.301679
518.385000,1216.000000,1216.483693,-0.483693
518.420000,1218.000000,1216.273317,1.726683
518.454000,1218.000000,1216.078587,1.921413
518.489000,1216.000000,1215.887444,0.112556
518.523000,1216.000000,1215.710272,0.289728
518.558000,1227.000000,1215.536129,11.463871
518.593000,1216.000000,1215.369856,0.630144
518.627000,1218.000000,1215.215433,2.784567
518.662000,1218.000000,1215.063361,2.936639
518.696000,1212.000000,1214.921955,-2.921955
518.731000,1212.000000,1214.782536,-2.782536
518.765000,1211.000000,1214.652745,-3.652745
518.800000,1211.000000,1214.524633,-3.524633
518.834000,1216.000000,1214.405237,1.594763
518.869000,1218.000000,1214.287258,3.712742
518.903000,1216.000000,1214.177189,1.822811
518.938000,1216.000000,1214.068315,1.931685
518.972000,1216.000000,1213.966639,2.033361
519.007000,1219.000000,1213.865968,5.134032
519.041000,1220.000000,1213.771862,6.228138
519.076000,1220.000000,1213.678600,6.321400
519.110000,1220.000000,1213.591339,6.408661
519.145000,1217.000000,1213.504783,3.495217
519.179000,1204.000000,1213.423727,-9.423727
519.214000,1204.000000,1213.343257,-9.343257
